ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13201584,JG413441,09/06/2023 11:45:00 AM,051XX W NORTH AVE,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,GOVERNMENT BUILDING / PROPERTY,true,false,2533,025,37,25,14,1141947,1910153,2023,09/14/2023 03:43:09 PM,41.909524018,-87.753986578,"(41.909524018, -87.753986578)"
13201917,JG413713,09/06/2023 03:02:00 PM,029XX W 59TH ST,0820,THEFT,$500 AND UNDER,TAVERN / LIQUOR STORE,false,false,0824,008,15,66,06,1157625,1865375,2023,09/14/2023 03:43:09 PM,41.786343156,-87.697609774,"(41.786343156, -87.697609774)"
13202366,JG413027,09/06/2023 03:48:00 AM,096XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2223,022,21,73,08B,1172677,1840886,2023,09/14/2023 03:43:09 PM,41.718823567,-87.643141787,"(41.718823567, -87.643141787)"
13201082,JG412949,09/06/2023 12:18:00 AM,011XX W 63RD ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CONVENIENCE STORE,false,false,0724,007,16,68,10,1169601,1863016,2023,09/14/2023 03:43:09 PM,41.779618399,-87.653767961,"(41.779618399, -87.653767961)"
13201977,JG413788,09/06/2023 03:30:00 PM,036XX S UNION AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,true,0915,009,11,60,04B,1172228,1880850,2023,09/14/2023 03:43:09 PM,41.828499363,-87.64361241,"(41.828499363, -87.64361241)"
13208235,JG421358,08/26/2023 01:50:00 AM,035XX W 55TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,SCHOOL - PUBLIC BUILDING,false,false,0822,008,14,63,14,1153756,1867915,2023,09/14/2023 03:41:59 PM,41.793390915,-87.711728299,"(41.793390915, -87.711728299)"
13202840,JG414953,09/06/2023 10:00:00 AM,063XX S MARYLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,0312,003,20,42,05,1183000,1863278,2023,09/14/2023 03:43:09 PM,41.780036279,-87.604637829,"(41.780036279, -87.604637829)"
13202933,JG414643,09/06/2023 06:00:00 PM,048XX S LAKE PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0222,002,4,39,14,1186842,1873319,2023,09/14/2023 03:43:09 PM,41.807499342,-87.590234482,"(41.807499342, -87.590234482)"
13202139,JG414210,09/06/2023 09:00:00 PM,028XX E 90TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0423,004,10,46,14,1196758,1845842,2023,09/14/2023 03:43:09 PM,41.731859652,-87.554778427,"(41.731859652, -87.554778427)"
13201430,JG413128,09/06/2023 06:00:00 AM,0000X N HAMLIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1122,011,28,26,08B,1151064,1899854,2023,09/14/2023 03:43:09 PM,41.881088655,-87.720764494,"(41.881088655, -87.720764494)"
